Date,Open,High,Low,Close,Adj Close,Volume
2016-09-14,66.27,67.25,66.21,66.4,61.67,12648600
2016-09-15,66.29,66.93,66.09,66.64,61.89,12531300
2016-09-16,66.09,66.26,65.44,65.82,61.13,25161500
2016-09-19,66.15,66.64,65.85,66.19,61.47,12899200
2016-09-20,66.75,66.85,66.24,66.46,61.73,10092200
2016-09-21,66.84,67.13,66.31,66.84,62.08,14116800
2016-09-22,66.99,67.42,66.84,67.39,62.59,12781700
2016-09-23,67.39,67.9,67.18,67.25,62.46,13967400
2016-09-26,66.6,66.8,65.54,65.78,61.09,16408100
2016-09-27,65.41,66.41,65.11,66.36,61.63,13711400
2016-09-28,66.58,66.77,65.99,66.71,61.96,11278000
2016-09-29,66.7,67.21,65.35,65.65,60.97,18727200
2016-09-30,66.08,67.06,66.08,66.59,61.85,21680100
2016-10-03,66.35,66.92,66.26,66.51,61.77,14901700
2016-10-04,66.21,67.18,66.1,66.6,62.3,17226900
2016-10-05,66.89,68.07,66.8,67.69,63.32,16280000
